date,category,type,operator,yom,engine,engine_model,flight_phase,flight_type,site,location,country,region,latitude,longitude,aircraft_damage,occupants,fatalities,other_fatalities,cause
1977-09-14,Unknown,De Havilland DHC-2 Beaver,Aerolineas Especiales de Colombia - AE Colombia,1956,Unknown,Unknown,Flight,Aerial photography,"Plain, Valley","Cartagena del Chairá, Caquetá",Colombia,South America,1.3345179,-74.8414067,Unknown,6,1,0,Unknown
1977-09-14,Accident,Boeing KC-135 Stratotanker,United States Air Force - USAF (since 1947),1963,Multi Jet Engines,Pratt & Whitney TF33-PW-102,Takeoff (climb),Refuelling,Airport (less than 10 km from airport),"Kirtland AFB, New Mexico",United States of America,North America,35.0011307,-106.5157255080197,Destroyed,20,20,0,Human factor
1977-09-15,Unknown,Grumman S-2 Tracker,Royal Canadian Air Force - RCAF,1966,Unknown,Unknown,Flight,Fire fighting,"Lake, Sea, Ocean, River","Sudbury, Ontario",Canada,North America,46.49272,-80.991211,Unknown,4,0,0,Unknown
1977-09-21,Accident,Douglas C-47 Skytrain (DC-3),New Jersey Airlines - NJ Airlines,1942,Multi Piston Engines,Pratt & Whitney R-1830-92,Landing (descent or approach),Delivery,Airport (less than 10 km from airport),"Narsarsuaq, Kommune Kujalleq",Greenland,Europe,61.1555545,-45.4238591,Destroyed,2,0,0,Technical failure
1977-09-21,Unknown,Max Holste M.H.1521M Broussard,French Air Force - Armée de l'Air,1960,Unknown,Unknown,Takeoff (climb),Skydiving / Paratroopers,Airport (less than 10 km from airport),"Cahors-Lalbenque, Lot",France,Europe,44.35212705,1.47517818358068,Unknown,6,1,0,Human factor
1977-09-21,Accident,Tupolev TU-134,Malév Hungarian Airlines - Magyar Légiközlekedési Vallalat,1968,Multi Jet Engines,Soloviev D-30,Landing (descent or approach),Scheduled Revenue Flight,"Plain, Valley","Urziceni, Ialomița",Romania,Europe,44.717002,26.6324066,Destroyed,53,29,0,Human factor
1977-09-23,Unknown,Max Holste M.H.1521M Broussard,Private Brazilian,1958,Unknown,Unknown,Flight,Private,"Plain, Valley","Brazil, All Brazil",Brazil,South America,-23.9656606,-46.3486247,Unknown,6,6,0,Unknown
1977-09-23,Accident,Learjet 36,Arab Wings,1976,Multi Jet Engines,Garrett TFE731-2-2B,Takeoff (climb),Charter/Taxi (Non Scheduled Revenue Flight),Airport (less than 10 km from airport),"Amman-Marka, Amman City District",Jordan,Asia,31.1667049,36.941628,Destroyed,4,4,0,Human factor
1977-09-23,Unknown,Beechcraft 90 King Air,Drives Inc.,1977,Unknown,Unknown,Flight,Executive/Corporate/Business,"Plain, Valley","Pontiac, Illinois",United States of America,North America,40.8808666,-88.6297839,Unknown,2,2,0,Technical failure
1977-09-24,Unknown,Piper PA-31-350 Navajo Chieftain,Alaska Central Airlines,1974,Unknown,Unknown,Takeoff (climb),Scheduled Revenue Flight,"Lake, Sea, Ocean, River","Lake Minchumina, Alaska",United States of America,North America,63.816697,-152.3729903196251,Unknown,6,0,0,Technical failure
1977-09-24,Unknown,Britten-Norman Islander,Sabang Merauke Raya Air Charter - SMAC,1974,Unknown,Unknown,Takeoff (climb),Scheduled Revenue Flight,"Lake, Sea, Ocean, River","Lhokseumawe-Malikussaleh, Aceh",Indonesia,Asia,5.183791,97.14737124539985,Unknown,10,4,0,Unknown
1977-09-25,Unknown,Piper PA-31-310 Navajo,Partnair,1969,Unknown,Unknown,Takeoff (climb),Charter/Taxi (Non Scheduled Revenue Flight),"Lake, Sea, Ocean, River","Oslo-Fornebu, Oslo City",Norway,Europe,61.1529386,8.7876653,Unknown,2,0,0,Unknown
1977-09-26,Accident,Dornier DO.28D Skyservant,State Aerial Survey Corporation,1970,Multi Piston Engines,Unknown,Flight,Survey / Patrol / Reconnaissance,"Lake, Sea, Ocean, River","Bawean Island, East Java",Indonesia,Asia,-5.79334655,112.6598223201143,Destroyed,1,0,0,Unknown
1977-09-27,Accident,Beechcraft 100 King Air,Delwood Furniture Company,1970,Unknown,Unknown,Landing (descent or approach),Executive/Corporate/Business,Airport (less than 10 km from airport),"Auburn-Opelika-Robert G. Pitts (University Regional), Alabama",United States of America,North America,32.6118107,-85.43694166226194,Destroyed,3,1,0,Human factor
1977-09-27,Unknown,IAI Arava 201,Salvadorian Air Force - Fuerza Aérea Salvadoreña,1975,Unknown,Unknown,Landing (descent or approach),Military,Airport (less than 10 km from airport),"San Salvador-Ilopango, San Salvador",Salvador,Central America,13.7013054,-89.0781096,Unknown,0,0,0,Unknown
1977-09-27,Accident,Douglas DC-8,Japan Airlines,1971,Multi Jet Engines,Pratt & Whitney JT3D-,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Kuala Lumpur-Subang-Sultan Abdul Aziz Shah, Selangor",Malaysia,Asia,4.5693754,102.2656823,Destroyed,79,34,0,Human factor
1977-09-27,Accident,PZL-Mielec AN-2,Aeroflot - Russian International Airlines,1965,1 Piston engine,Unknown,Flight,Scheduled Revenue Flight,"Plain, Valley","Samarkand, Samarkand Province (Samarqand viloyati)",Uzbekistan,Asia,39.6550017,66.9756954,Destroyed,0,0,0,Human factor
1977-09-28,Unknown,Pilatus PC-6 (Porter & Turbo Porter),National Agricultural Organisation,1966,Unknown,Unknown,Landing (descent or approach),Government,Airport (less than 10 km from airport),"Haya, Red Sea (البحر الأحمر)",Sudan,Africa,18.3329475,36.3860147,Unknown,0,0,0,Unknown
1977-09-28,Unknown,Cessna 402,Sky Line Flying Services,1973,Unknown,Unknown,Flight,Cargo,"Plain, Valley","Mercer, Pennsylvania",United States of America,North America,41.3334542,-80.3014412,Unknown,2,2,0,Human factor
1977-09-29,Accident,Curtiss C-46 Commando,North Coast Air Services,1945,Multi Piston Engines,Unknown,Flight,Cargo,"Plain, Valley","Thompson, Manitoba",Canada,North America,55.743347,-97.863464,Destroyed,2,0,0,Technical failure
1977-09-30,Accident,Douglas C-47 Skytrain (DC-3),Aviateca,1944,Multi Piston Engines,Pratt & Whitney R-1830-92,Landing (descent or approach),Cargo,Airport (less than 10 km from airport),"Flores-Mundo Maya (Santa Elena), Petén",Guatemala,Central America,15.5855545,-90.345759,Destroyed,4,1,0,Technical failure
1977-09-30,Accident,Bristol Britannia,Interconair - Irish Intercon Cattle Meats,1959,Multi Turboprop Engines,Unknown,Landing (descent or approach),Cargo,Airport (less than 10 km from airport),"Shannon, Munster",Ireland,Europe,52.7104544,-8.8788366,Destroyed,6,0,0,Unknown
1977-10-01,Unknown,Beechcraft E18,Blackhawk Airways,1957,Unknown,Unknown,Flight,Cargo,"Plain, Valley","Plymouth, Indiana",United States of America,North America,41.3436555,-86.3097278,Unknown,1,0,0,Technical failure
1977-10-01,Unknown,De Havilland DHC-2 Beaver,Kenmore Air,1958,Unknown,Unknown,Flight,Charter/Taxi (Non Scheduled Revenue Flight),Mountains,"Stevens Pass, Washington",United States of America,North America,47.7456352,-121.089171,Unknown,7,7,0,Human factor
1977-10-02,Unlawful Interference,Douglas C-47 Skytrain (DC-3),Jack Lenhardt,1944,Multi Piston Engines,Pratt & Whitney R-1830-92,Flight,Illegal (smuggling),"Plain, Valley","Villavicencio, Meta",Colombia,South America,4.1347644,-73.6201517,Destroyed,2,0,0,"Terrorism act, hijacking, sabotage, any kind of hostile action"
1977-10-03,Unknown,De Havilland DHC-2 Beaver,Athabaska Airways,1956,Unknown,Unknown,Flight,Charter/Taxi (Non Scheduled Revenue Flight),"Lake, Sea, Ocean, River","Knee Lake, Saskatchewan",Canada,North America,55.870013900000004,-106.973395424603,Unknown,1,1,0,Unknown
1977-10-05,Unknown,Beechcraft E18,Private Brazilian,1956,Unknown,Unknown,Unknown,Private,Airport (less than 10 km from airport),"Bridgetown-Grantley Adams, All Barbados",Barbados,Central America,13.1500331,-59.5250305,Unknown,1,0,0,Unknown
1977-10-05,Unknown,Pilatus PC-6 (Porter & Turbo Porter),Garrett AiResearch,1967,Unknown,Unknown,Takeoff (climb),Demonstration,Airport (less than 10 km from airport),"Oklahoma City-Wiley Post, Oklahoma",United States of America,North America,39.7837304,-100.445882,Unknown,5,5,0,Human factor
1977-10-05,Unknown,Learjet 25,Private American,1974,Unknown,Unknown,Takeoff (climb),Executive/Corporate/Business,Airport (less than 10 km from airport),"Amarillo-Rick Husband, Texas",United States of America,North America,35.2208033,-101.70973305357995,Unknown,3,0,0,Human factor
1977-10-06,Unknown,Grumman S-2 Tracker,Turkish Navy - Türk Deniz Kuvvetleri,1957,Unknown,Unknown,Flight,Training,Unknown,"Bandirma, Marmara Region (Marmara Bölgesi)",Turkey,Asia,40.3554705,27.9697603,Unknown,2,2,0,Unknown
1977-10-06,Accident,Douglas DC-6,Aerovias Las Minas,1955,Multi Piston Engines,Unknown,Landing (descent or approach),Spraying (Agricultural),Airport (less than 10 km from airport),"La China, All Bolivia",Bolivia,South America,-17.0568696,-64.9912286,Destroyed,3,0,0,Technical failure
1977-10-06,Unknown,Grumman S-2 Tracker,Republic of Korea Navy,1957,Unknown,Unknown,Landing (descent or approach),Training,Airport (less than 10 km from airport),"Gimhae, South Gyeongsang (경상남도)",South Korea,Asia,35.2310947,128.8908228,Unknown,3,3,0,Technical failure
1977-10-08,Accident,Britten-Norman Trislander,Southern Aviation - South Africa,1976,Multi Piston Engines,Lycoming O-540-E4C5,Flight,Demonstration,Airport (less than 10 km from airport),"Lanseria, Gauteng",South Africa,Africa,-25.9396667,27.92617105029214,Destroyed,2,0,0,Human factor
1977-10-08,Unknown,Piper PA-31-310 Navajo,Mark 50 Machinery Sales,1971,Unknown,Unknown,Takeoff (climb),Executive/Corporate/Business,Airport (less than 10 km from airport),"Vancouver, Washington",United States of America,North America,45.6306954,-122.6744557,Unknown,3,3,0,Technical failure
1977-10-11,Unknown,Fairchild C-123 Provider,United States Air Force - USAF (since 1947),1954,Unknown,Unknown,Landing (descent or approach),Military,Airport (less than 10 km from airport),"Westover AFB, Massachusetts",United States of America,North America,42.1795118,-72.55571766701624,Unknown,0,0,0,Technical failure
1977-10-18,Accident,Antonov AN-2,Aeroflot - Russian International Airlines,1959,1 Piston engine,Unknown,Takeoff (climb),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Srednekolymsk, Republic of Yakutia (Sakha)",Russia,Asia,64.6863136,97.7453061,Destroyed,5,0,0,Technical failure
1977-10-18,Accident,Avro 748,Mandala Airlines,1967,Multi Turboprop Engines,Unknown,Takeoff (climb),Training,City,"Manila-Ninoy Aquino, Metro Manila",Philippines,Asia,14.5123016,121.02188606807516,Destroyed,5,5,3,Human factor
1977-10-19,Accident,Beechcraft 200 Super King Air,Barney S. Cam,1977,Unknown,Unknown,Landing (descent or approach),Executive/Corporate/Business,Airport (less than 10 km from airport),"Valparaiso, Indiana",United States of America,North America,41.4672552,-87.0604487,Destroyed,1,1,0,Human factor
1977-10-20,Accident,Convair CV-240,L & J Company,1948,Multi Piston Engines,Pratt & Whitney R-2800,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Airport (less than 10 km from airport),"McComb, Mississippi",United States of America,North America,31.2437872,-90.4531536,Destroyed,26,6,0,Technical failure
1977-10-23,Accident,Douglas C-47 Skytrain (DC-3),Geoterrex,1942,Multi Piston Engines,Pratt & Whitney R-1830-92,Flight,Geographical / Geophysical / Scientific,Mountains,"Manidar, Razavi Khorasan",Iran,Asia,32.6475314,54.5643516,Destroyed,3,3,0,Human factor
1977-10-25,Unknown,Beechcraft C-45 Expeditor,Marvin Chrapun,1953,Unknown,Unknown,Landing (descent or approach),Private,Airport (less than 10 km from airport),"Snow Lake, Manitoba",Canada,North America,54.881347,-100.020905,Unknown,1,1,0,Unknown
1977-10-27,Accident,Ilyushin II-14,Aeroflot - Russian International Airlines,1957,Multi Piston Engines,Unknown,Flight,Survey / Patrol / Reconnaissance,"Plain, Valley","Cape Chelyuskin, Krasnoyarsk Krai",Russia,Asia,77.7231033,104.2564812,Destroyed,11,0,0,Human factor
1977-10-28,Accident,De Havilland DHC-3 Otter,Costarican Government,1956,1 Piston engine,Unknown,Flight,Aerial photography,"Lake, Sea, Ocean, River","Parismina, Limón (Caribbean Coast)",Costa Rica,Central America,10.2735633,-84.0739102,Destroyed,6,0,0,Technical failure
1977-10-30,Unknown,De Havilland DHC-2 Beaver,Airwest Airlines,1952,Unknown,Unknown,Unknown,Charter/Taxi (Non Scheduled Revenue Flight),"Lake, Sea, Ocean, River","False Bay (Lasqueti Island), British Columbia",Canada,North America,49.49024755000001,-124.36562366390325,Unknown,0,0,0,Unknown
1977-10-31,Unknown,Rockwell Grand Commander 680,Akarana Air,1963,Unknown,Unknown,Flight,Positioning,"Lake, Sea, Ocean, River","Wanganui, Manawatu-Wanganui (Horizons Regional Council)",New Zealand,Oceania,-40.349560100000005,175.61842771672406,Unknown,1,1,0,Technical failure
1977-11-03,Accident,Britten-Norman Islander,Servicios Aéreos Martinez Leon,1974,Multi Piston Engines,Unknown,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"San Cristóbal de Las Casas, Chiapas",Mexico,Central America,16.735377,-92.63873,Destroyed,13,13,0,Other causes
1977-11-03,Unknown,Piper PA-31-310 Navajo,Savin Aviation,1968,Unknown,Unknown,Landing (descent or approach),Cargo,Airport (less than 10 km from airport),"Manitowoc, Wisconsin",United States of America,North America,44.0998341,-87.827992,Unknown,1,0,0,Human factor
1977-11-04,Unknown,Convair CV-580,AVENSA - Aerovias Venezolanas,1958,Unknown,Unknown,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"San Antonio del Táchira, Táchira",Venezuela,South America,7.809267,-72.4444077,Unknown,34,0,0,Unknown
1977-11-04,Unknown,Rockwell Aero Commander 500,Citrex,1961,Unknown,Unknown,Flight,Executive/Corporate/Business,Mountains,"La Mercedes, La Rioja",Argentina,South America,-33.67619285,-65.46639339367835,Unknown,4,4,0,Unknown
1977-11-05,Unknown,De Havilland DHC-2 Beaver,Colombian Air Force - Fuerza Aérea Colombiana,1958,Unknown,Unknown,Flight,Military,"Plain, Valley","Rio Aguarico, Sucumbíos",Ecuador,South America,-0.1861998519347348,-76.6436850925941,Unknown,4,0,0,Unknown
1977-11-05,Accident,Tupolev TU-124,Indian Air Force - Bharatiya Vayu Sena,1966,Multi Jet Engines,Unknown,Landing (descent or approach),Government,Airport (less than 10 km from airport),"Jorhat, Assam",India,Asia,26.7577925,94.2079645,Destroyed,20,5,0,Unknown
1977-11-05,Unknown,PZL-Mielec AN-2,Aeroflot - Russian International Airlines,1972,Unknown,Unknown,Flight,Scheduled Revenue Flight,Mountains,"Mt Aag, Kamchatka Krai",Russia,Asia,64.6863136,97.7453061,Unknown,7,7,0,Human factor
1977-11-07,Accident,Britten-Norman Islander,M.C. Correia Holdings,1973,Multi Piston Engines,Unknown,Landing (descent or approach),Executive/Corporate/Business,Airport (less than 10 km from airport),"Georgetown-Ogle, Demerara-Mahaica",Guyana,South America,4.8417097,-58.6416891,Destroyed,0,0,0,Unknown
1977-11-07,Accident,Rockwell Sabreliner 40,Mechanical Equipment Company,1965,Multi Jet Engines,Unknown,Takeoff (climb),Executive/Corporate/Business,"Lake, Sea, Ocean, River","New Orleans-Lakefront, Louisiana",United States of America,North America,30.030104950000002,-90.05050669201646,Destroyed,4,3,0,Human factor
1977-11-08,Accident,Morane-Saulnier M.S.760 Paris,Argentinian Air Force - Fuerza Aérea Argentina,1959,Multi Jet Engines,Unknown,Flight,Training,"Plain, Valley","Córdoba AFB, Córdoba",Argentina,South America,-34.9964963,-64.9672817,Destroyed,2,2,0,Unknown
1977-11-15,Unknown,Piper PA-31-310 Navajo,Private German,1977,Unknown,Unknown,Flight,Private,"Plain, Valley","Münchberg, Bavaria",Germany,Europe,50.1911369,11.7913908,Unknown,0,0,0,Unknown
1977-11-15,Unknown,Cessna 441 Conquest,Cessna Aircraft Company,1977,Unknown,Unknown,Flight,Demonstration,"Plain, Valley","Demopolis, Alabama",United States of America,North America,32.5178284,-87.8368201,Unknown,7,7,0,Other causes
1977-11-19,Accident,Boeing 707,Ethiopian Airlines,1968,Multi Jet Engines,Pratt & Whitney JT3D-,Takeoff (climb),Cargo,Airport (less than 10 km from airport),"Rome-Fiumicino-Leonardo da Vinci, Lazio",Italy,Europe,41.81539105,12.22648477049777,Destroyed,5,5,0,Human factor
1977-11-19,Unknown,Beechcraft D18,Global Aircraft,1946,Unknown,Unknown,Takeoff (climb),Cargo,Airport (less than 10 km from airport),"Orlando-Executive (Herndon), Florida",United States of America,North America,39.7837304,-100.445882,Unknown,3,0,0,Other causes
1977-11-19,Accident,Boeing 727-200,Air Portugal - Transportes Aéreos Portugueses (TAP),1975,Multi Jet Engines,P&W JT8D-17,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Funchal, Madeira",Portugal,Europe,32.6496497,-16.9086783,Destroyed,164,131,0,Human factor
1977-11-20,Accident,Bristol 170 Freighter,Wardair Canada,1956,Multi Piston Engines,Bristol Hercules 734,Takeoff (climb),Cargo,Airport (less than 10 km from airport),"Hay River, Northwest Territories",Canada,North America,60.8155874,-115.7866099,Destroyed,2,1,0,Other causes
1977-11-20,Accident,Douglas C-47 Skytrain (DC-3),SATENA - Servicio de Aeronavegacion a Territorios Nacionales,1945,Multi Piston Engines,Pratt & Whitney R-1830-90C,Flight,Military,Airport (less than 10 km from airport),"Bogotá, Bogotá Capital District",Colombia,South America,4.6533816,-74.0836333,Destroyed,0,0,0,Unknown
1977-11-20,Accident,Douglas C-47 Skytrain (DC-3),SATENA - Servicio de Aeronavegacion a Territorios Nacionales,1944,Multi Piston Engines,Pratt & Whitney R-1830-92,Unknown,Military,"Plain, Valley","Llanos del Yarí, Caquetá",Colombia,South America,4.099917,-72.9088133,Destroyed,0,0,0,Unknown
1977-11-21,Accident,Britten-Norman Islander,Munz Northern Airlines,1977,Multi Piston Engines,Unknown,Flight,Scheduled Revenue Flight,"Lake, Sea, Ocean, River","Kotzebue-Ralph Wien Memorial, Alaska",United States of America,North America,39.7837304,-100.445882,Destroyed,2,2,0,Unknown
1977-11-21,Accident,BAc 111,Austral Lineas Aéreas,1968,Multi Jet Engines,Rolls-Royce Spey 511-14W,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Mountains,"San Carlos de Bariloche, Río Negro",Argentina,South America,-41.1334781,-71.3101474,Destroyed,79,46,0,Human factor
1977-11-22,Accident,Tupolev TU-134,Interflug,1973,Multi Jet Engines,Unknown,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Berlin-Schönefeld, Berlin",Germany,Europe,52.5130556,13.5765889,Destroyed,74,0,0,Human factor
1977-11-23,Unknown,Ilyushin II-18,Malév Hungarian Airlines - Magyar Légiközlekedési Vallalat,1963,Multi Turboprop Engines,Ivchenko AI-20K,Taxiing,Scheduled Revenue Flight,Airport (less than 10 km from airport),"Bucharest-Otopeni-Henri Coandă, București",Romania,Europe,45.9852129,24.6859225,Destroyed,0,0,0,Human factor
1977-11-23,Unknown,Piper PA-31-310 Navajo,Textafrica,1968,Unknown,Unknown,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Airport (less than 10 km from airport),"Chimoio, Manica",Mozambique,Africa,-19.1437458,33.4780059,Unknown,8,8,0,"Terrorism act, hijacking, sabotage, any kind of hostile action"
1977-11-24,Unknown,Piper PA-31 Cheyenne,Kirkway Corporation,1976,Unknown,Unknown,Landing (descent or approach),Private,Airport (less than 10 km from airport),"Beckley-Raleigh County, West Virginia",United States of America,North America,37.7781702,-81.1881557,Unknown,6,6,0,Human factor
1977-11-25,Accident,Nord 2501 Noratlas,French Air Force - Armée de l'Air,1960,Multi Piston Engines,Bristol Hercules 739,Flight,Military,Mountains,"Prémian, Hérault",France,Europe,43.5238673,2.8311943,Destroyed,32,32,0,Technical failure
1977-11-26,Unlawful Interference,Douglas C-54 Skymaster,African Lux,1944,Multi Piston Engines,Unknown,Flight,Cargo,"Plain, Valley","Tete, Tete",Mozambique,Africa,-16.1603989,33.5871474,Destroyed,3,3,0,"Terrorism act, hijacking, sabotage, any kind of hostile action"
1977-11-26,Unknown,Britten-Norman Islander,Bureau de Prospection Forestière,1968,Multi Piston Engines,Unknown,Flight,Survey / Patrol / Reconnaissance,"Plain, Valley","Gabon, All Gabon",Gabon,Africa,-0.8999695,11.6899699,Destroyed,0,0,0,Unknown
1977-11-26,Unknown,Beechcraft 90 King Air,D & H Corporation,1967,Unknown,Unknown,Flight,Private,"Lake, Sea, Ocean, River","Charleston-Intl, South Carolina",United States of America,North America,32.89929845,-80.03946503050427,Unknown,2,0,0,Technical failure
1977-11-27,Unknown,Cessna 414 Chancellor,Cameron & Cameron,1974,Unknown,Unknown,Takeoff (climb),Private,Mountains,"Aspen-Pitkin County-Sardy Field, Colorado",United States of America,North America,39.22142085,-106.86734117631343,Unknown,7,1,0,Human factor
1977-11-28,Accident,PZL-Mielec AN-2,Aeroflot - Russian International Airlines,1971,1 Piston engine,Unknown,Flight,Scheduled Revenue Flight,"Plain, Valley","Chuya, Irkutsk oblast",Russia,Asia,59.266373,112.427834,Destroyed,0,0,0,Unknown
1977-12-01,Accident,De Havilland DHC-6 Twin Otter,Airwest Airlines,1968,Multi Turboprop Engines,Pratt & Whitney Canada PT6A-20,Landing (descent or approach),Scheduled Revenue Flight,Mountains,"Narvaez Bay (Saturna Island), British Columbia",Canada,North America,61.0666922,-107.991707,Destroyed,14,0,0,Human factor
1977-12-02,Accident,Tupolev TU-154,Balkan Bulgarian Airlines,1974,Multi Jet Engines,Kuznetsov NK-8-2U,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Desert,"Al Bayda, Jabal al Akhdar (الجبل الاخضر)",Libya,Africa,32.7635447,21.7490341,Destroyed,165,59,0,Technical failure
1977-12-04,Accident,Boeing 737-200,Malaysian Airlines System - MAS,1972,Multi Jet Engines,P&W JT8D-15,Flight,Scheduled Revenue Flight,"Plain, Valley","Jalan Tanjung Kupang, Johor",Malaysia,Asia,1.37665545,103.56003315000001,Destroyed,100,100,0,"Terrorism act, hijacking, sabotage, any kind of hostile action"
1977-12-08,Unknown,Rockwell Shrike Commander 500,Líder Taxi Aéreo,1958,Unknown,Unknown,Landing (descent or approach),Executive/Corporate/Business,Airport (less than 10 km from airport),"Conceição do Araguaia, Pará",Brazil,South America,-8.2696905,-49.2676864,Unknown,2,2,0,Unknown
1977-12-09,Accident,Sud-Aviation SE-210 Caravelle,Aerotour - France,1965,Multi Jet Engines,Unknown,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Airport (less than 10 km from airport),"Oujda-Angad, Oriental",Morocco,Africa,34.667468,-2.0365837108458056,Destroyed,0,0,0,Technical failure
1977-12-09,Accident,Antonov AN-24,Aeroflot - Russian International Airlines,1972,Multi Turboprop Engines,Ivchenko AI-24VT,Takeoff (climb),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Tarko-Sale, Republic of Yamalia",Russia,Asia,64.6863136,97.7453061,Destroyed,23,17,0,Unknown
1977-12-09,Unknown,BAe 125,Churchill Falls (Labrador) Corporation,1970,Unknown,Unknown,Landing (descent or approach),Executive/Corporate/Business,Airport (less than 10 km from airport),"Churchill Falls, Newfoundland & Labrador",Canada,North America,53.594508,-64.3076966,Unknown,8,8,0,Human factor
1977-12-11,Unknown,Casa 2.111,Warbirds of Great Britain,1958,Unknown,Unknown,Flight,Private,Mountains,"Guadarrama, Madrid",Spain,Europe,40.41148491519511,-3.731337055264213,Unknown,4,4,0,Human factor
1977-12-11,Accident,Lockheed P-3 Orion,United States Navy - USN,1967,Multi Turboprop Engines,Unknown,Flight,Survey / Patrol / Reconnaissance,Mountains,"Hierro Island, Canary Islands",Spain,Europe,27.74350835,-18.038179618209902,Destroyed,13,13,0,Human factor
1977-12-13,Unknown,Grumman G-21A Goose,Worldwide Aviation Distributors,1942,Unknown,Unknown,Takeoff (climb),Demonstration,City,"Miami-Opa Locka, Florida",United States of America,North America,25.9104157,-80.26232561727164,Unknown,2,0,0,Technical failure
1977-12-13,Accident,Douglas C-53 Skytrooper (DC-3),National Jet Services,1941,Multi Piston Engines,Pratt & Whitney R-1830-94,Takeoff (climb),Charter/Taxi (Non Scheduled Revenue Flight),Airport (less than 10 km from airport),"Evansville-William H. Dress, Indiana",United States of America,North America,39.7837304,-100.445882,Destroyed,29,29,0,Human factor
1977-12-14,Accident,Vickers Viscount,TAC Colombia - Transportes Aéreos del Cesar,1960,Multi Turboprop Engines,Unknown,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Bucaramanga-Palonegro, Santander",Colombia,South America,4.099917,-72.9088133,Destroyed,22,0,0,Human factor
1977-12-16,Unknown,Piper PA-31-310 Navajo,Growth Air,1969,Unknown,Unknown,Flight,Private,"Lake, Sea, Ocean, River","Kingston, Kingston City District",Jamaica,Central America,44.223670150000004,-76.49337742056123,Unknown,1,1,0,Technical failure
1977-12-16,Unknown,Cessna 401,E. L. Jarman,1968,Unknown,Unknown,Flight,Private,"Lake, Sea, Ocean, River","West Palm Beach, Florida",United States of America,North America,26.715364,-80.0532942,Unknown,1,0,0,Technical failure
1977-12-17,Unknown,Beechcraft C-45 Expeditor,Statewide Air,1952,Unknown,Unknown,Takeoff (climb),Cargo,"Lake, Sea, Ocean, River","Honolulu, Hawaii",United States of America,North America,21.304547,-157.855676,Unknown,1,0,0,Technical failure
1977-12-18,Accident,Sud-Aviation SE-210 Caravelle,SATA - Société Anonyme de Transport Aérien Genève,1965,Multi Jet Engines,P&W JT8D-7,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),"Lake, Sea, Ocean, River","Funchal, Madeira",Portugal,Europe,32.6496497,-16.9086783,Destroyed,57,36,0,Human factor
1977-12-18,Accident,Douglas DC-8,United Airlines,1966,Unknown,Pratt & Whitney JT3D-,Landing (descent or approach),Cargo,Mountains,"Kaysville, Utah",United States of America,North America,41.0349847,-111.9383931,Destroyed,3,3,0,Human factor
1977-12-19,Accident,PZL-Mielec AN-2,Aeroflot - Russian International Airlines,1966,1 Piston engine,Unknown,Flight,Scheduled Revenue Flight,"Plain, Valley","Podkopayevo, Kaluga oblast",Russia,Asia,64.6863136,97.7453061,Destroyed,0,0,0,Human factor
1977-12-19,Accident,Britten-Norman Islander,Vieques Air Link,1970,Multi Piston Engines,Unknown,Landing (descent or approach),Scheduled Revenue Flight,"Lake, Sea, Ocean, River","Vieques, All Puerto Rico",Puerto Rico,Central America,18.2247706,-66.4858295,Destroyed,10,5,0,Technical failure
1977-12-20,Accident,PZL-Mielec AN-2,Aeroflot - Russian International Airlines,1973,1 Piston engine,Unknown,Flight,Scheduled Revenue Flight,"Plain, Valley","Ukhta, Republic of Komi",Russia,Asia,64.6863136,97.7453061,Destroyed,0,0,0,Technical failure
1977-12-21,Accident,De Havilland DHC-6 Twin Otter,Kenn Borek Air,1970,Multi Turboprop Engines,Pratt & Whitney Canada PT6A-27,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Nanisivik, Northwest Territories",Canada,North America,61.0666922,-107.991707,Destroyed,8,8,0,Weather
1977-12-21,Unknown,Antonov AN-12,Soviet Air Force - Voyenno-vozdushnye sily CCCP,1958,Unknown,Unknown,Flight,Training,"Plain, Valley","Pechory, Pskov oblast",Russia,Asia,57.813305,27.608185,Unknown,8,8,0,Human factor
1977-12-22,Unknown,Cessna 404 Titan,Skyline Aviation (USA),1976,Unknown,Unknown,Flight,Cargo,"Lake, Sea, Ocean, River","Olcott, New York",United States of America,North America,43.3282564,-78.72027282756872,Unknown,1,1,0,Unknown
